Comparison,Strategy_A,Strategy_B,M_T_Mean_A,M_T_Mean_B,T_Statistic,P_Value,Significant_0.05
S1_vs_S2,S1,S2,174.85435019840708,564.4107979059431,-15.942679445948938,2.400288437814517e-07,True
S1_vs_S3,S1,S3,174.85435019840708,171.55654730237444,0.5478512907418746,0.5987427778417437,False
S2_vs_S3,S2,S3,564.4107979059431,171.55654730237444,16.012820616053045,2.3196825150651042e-07,True
