Strategy,Seed,M_T,M_L
S1,1,14.990258823239376,0.5929589041703338
S1,2,14.970473594058376,0.5624449984643609
S1,3,14.998030282851982,0.6266948470617292
S1,4,14.944353718769982,0.5992022907774881
S1,5,14.991761150650714,0.597779689358716
S2,1,14.990258823239376,5.929589041703339
S2,2,14.970473594058376,5.624449984643609
S2,3,14.998030282851982,6.266948470617291
S2,4,14.944353718769982,5.992022907774902
S2,5,14.991761150650714,5.977796893587155
S3,1,14.616571936637868,0.025223398294960495
S3,2,13.492363236144346,0.011493847382663342
S3,3,14.734602747664127,0.01949416102723087
S3,4,14.585822861092472,0.01937827937625254
S3,5,14.991761150650714,0.019192187159342067
